Time,AFeedStream1,DFeedStream2,EFeedStream3,TotalFeedStream4,RecycleFlowStream8,ReactorFeedRateStream6,ReactorPressurekPagauge,ReactorLevel,ReactorTemperatureDegC,PurgeRateStream9,ProductSepTempDegC,ProductSepLevel,ProdSepPressurekPagauge,ProdSepUnderflowStream10,StripperLevel,StripperPressurekPagauge,StripperUnderflowStream11,StripperTemperatureDegC,StripperSteamFlowkgperhr,CompressorWorkkW,ReactorCoolingWaterOutletTempDegC,SeparatorCoolingWaterOutletTempDegC,ComponentA6,ComponentB6,ComponentC6,ComponentD6,ComponentE6,ComponentF6,ComponentA9,ComponentB9,ComponentC9,ComponentD9,ComponentE9,ComponentF9,ComponentG9,ComponentH9,ComponentD11,ComponentE11,ComponentF11,ComponentG11,ComponentH11,DFeedFlowStream2,EFeedFlowStream3,AFeedFlowStream1,TotalFeedFlowStream4,CompressorRecycleValve,PurgeValveStream9,SeparatorPotLiquidFlowStream10,StripperLiquidProductFlowStream11,StripperSteamValve,ReactorCoolingWaterFlow,CondenserCoolingWaterFlow,Quality,Predicted_Quality,Anomaly_score%,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,top_feature_6,top_feature_7
1/13/2004 17:53,0.44616,3539.7,4230.7,9.3631,26.547,42.585,2620.8,73.756,120.44,0.38958,82.475,49.811,2543.2,26.185,50.528,3047.2,23.399,65.681,198.62,312.86,95.233,77.029,30.726,9.131,24.366,7.056,21.66,1.7687,30.008,14.17,21.305,1.4095,22.774,2.2979,5.1562,2.4236,0.027438,0.91741,0.11411,54.486,42.494,61.479,49.915,43.516,62.655,14.329,49.867,37.542,47.756,40.85,39.069,17.762,0,0,13.604697385924387,CompressorWorkkW,CompressorRecycleValve,ComponentE9,ProdSepPressurekPagauge,ReactorPressurekPagauge,ProductSepTempDegC,ComponentE6
1/15/2004 11:29,0.2002,3667.6,4523.7,9.4086,26.945,42.612,2704.8,75.29,120.38,0.33657,79.904,50.803,2633.2,25.388,49.555,3103.3,21.902,65.8,233.22,340.02,94.657,77.0,31.799,9.026,26.411,6.8517,19.132,1.6973,32.859,13.938,24.461,1.1775,18.407,2.2531,4.7968,2.2078,0.013294,0.814,0.096108,54.305,43.04,63.203,53.748,19.739,57.824,21.776,40.05,40.462,45.503,48.385,40.032,20.675,0,0,3.2681230414847713,TotalFeedFlowStream4,ReactorCoolingWaterFlow,CondenserCoolingWaterFlow,StripperUnderflowStream11,ComponentH9,AFeedStream1,ComponentF6
01-06-2004 03:51,0.94453,3598.9,4190.6,8.484,26.914,41.433,2654.2,73.632,120.39,0.35286,80.981,50.105,2578.6,25.638,50.37,3067.4,23.032,72.663,385.2,323.47,95.247,76.661,30.478,9.1141,25.546,6.8383,20.296,1.6619,31.043,14.49,23.865,1.4288,20.592,2.2927,4.9585,2.3519,0.026144,0.9682,0.12414,54.123,44.13,61.927,51.239,92.664,55.417,17.586,44.29,38.409,47.39,100.22,39.254,18.958,0,0,18.836718287500606,AFeedStream1,AFeedFlowStream1,StripperSteamValve,StripperTemperatureDegC,StripperSteamFlowkgperhr,CompressorWorkkW,TotalFeedStream4
1/16/2004 11:38,0.22633,3685.5,4503.2,9.4524,26.888,42.331,2713.7,74.462,120.38,0.3316,80.014,49.833,2642.5,24.033,48.444,3107.7,21.479,65.906,239.67,344.88,94.551,77.4,32.786,8.8361,26.193,6.7143,18.498,1.6739,33.959,13.698,24.026,1.2597,18.209,2.3003,4.7993,2.3223,0.009698,0.82094,0.092064,53.586,44.415,62.961,53.754,22.247,61.888,23.108,39.187,37.608,42.933,48.864,41.282,21.467,0,0,3.379961996087439,ComponentA9,StripperUnderflowStream11,CondenserCoolingWaterFlow,ComponentA6,CompressorWorkkW,ComponentD6,CompressorRecycleValve
1/18/2004 12:56,0.26298,3664.6,4492.0,9.349,27.726,42.422,2702.3,74.926,120.43,0.35163,80.388,47.643,2631.1,26.129,49.133,3096.8,23.643,65.816,233.17,342.45,94.575,77.579,32.844,9.1134,26.405,6.932,18.934,1.639,32.779,13.882,23.269,1.3439,18.328,2.3015,4.8205,2.407,0.027683,0.86259,0.099007,54.128,44.676,62.872,54.37,25.696,61.05,21.907,42.385,31.165,44.528,48.399,41.645,16.468,0,0,4.161025601394222,RecycleFlowStream8,ProductSepLevel,SeparatorPotLiquidFlowStream10,ComponentA6,ComponentB6,ComponentH9,ComponentC9
01-01-2004 12:32,0.22575,3687.2,4547.5,9.2588,26.774,42.231,2699.9,74.631,120.39,0.35033,80.35,49.271,2629.6,23.31,50.242,3095.7,23.003,66.377,245.62,341.3,94.46,77.327,32.484,8.9019,26.543,6.8918,18.988,1.7162,33.023,13.818,23.394,1.316,17.985,2.288,4.8177,2.2525,0.0073006,0.81783,0.10631,53.07,44.215,62.979,53.372,22.29,61.998,22.507,42.12,35.956,47.094,51.765,41.17,17.969,1,1,2.919756600490416,ComponentF6,ProdSepUnderflowStream10,ComponentE9,ComponentC9, , , 
01-11-2004 20:34,0.28238,3693.8,4479.5,9.2079,26.738,42.053,2698.5,75.23,120.39,0.33229,80.053,52.773,2626.0,26.286,50.787,3099.0,23.289,65.458,219.04,338.67,94.723,76.873,31.885,8.8935,26.358,6.8921,18.856,1.6576,32.375,13.923,24.234,1.2714,18.784,2.2784,4.9276,2.2069,0.014007,0.8347,0.099046,53.321,43.104,63.439,53.825,27.622,63.009,21.515,40.07,46.261,48.356,45.694,40.894,17.418,0,0,3.2508191135116693,SeparatorPotLiquidFlowStream10,ProductSepLevel,ComponentH9,ComponentA9,TotalFeedStream4,SeparatorCoolingWaterOutletTempDegC,CompressorWorkkW
1/16/2004 0:18,0.21657,3687.0,4498.5,9.1451,27.026,42.487,2700.1,75.299,120.42,0.34895,80.21,51.831,2628.4,24.482,48.458,3097.9,23.744,65.778,230.24,339.92,94.575,77.408,31.701,8.7934,26.803,6.7584,19.181,1.6754,32.63,13.959,23.724,1.3759,18.922,2.2501,4.7495,2.35,0.024055,0.83759,0.096064,53.806,44.425,63.538,54.651,21.016,62.653,21.879,41.207,43.487,42.966,47.453,41.961,16.22,0,0,2.897653787980135,TotalFeedStream4,ProductSepLevel,SeparatorPotLiquidFlowStream10,ComponentA6,ReactorCoolingWaterFlow,StripperLevel,StripperLiquidProductFlowStream11
1/17/2004 9:09,0.2126,3616.5,4534.6,9.3736,26.577,42.187,2694.5,75.108,120.4,0.33902,80.546,52.716,2623.5,25.163,49.456,3093.2,23.411,66.737,249.42,339.37,94.756,77.31,32.806,8.8539,25.796,6.9683,18.863,1.6674,33.09,14.036,24.037,1.1284,19.23,2.2784,4.8994,2.3298,0.03207,0.81501,0.075344,53.254,43.175,63.134,54.04,20.62,62.526,21.367,41.163,46.092,45.274,53.399,41.276,16.963,0,0,3.235279659263332,ProductSepLevel,SeparatorPotLiquidFlowStream10,ComponentF11,StripperTemperatureDegC,ComponentA6,ComponentB9,ComponentC6
1/18/2004 14:43,0.30402,3681.2,4495.5,9.3763,27.02,42.262,2691.5,75.421,120.41,0.33475,80.218,49.278,2620.9,26.8,51.208,3085.3,22.703,65.662,227.05,341.1,94.638,76.928,32.015,8.9221,26.189,6.9016,18.825,1.7033,32.833,13.916,23.211,1.2281,18.902,2.2535,4.9657,2.2332,0.026492,0.86084,0.11382,53.515,43.249,63.818,53.205,30.422,62.072,20.895,40.053,35.977,49.33,46.993,41.557,18.727,0,0,3.1275566553930525,StripperPressurekPagauge,CompressorRecycleValve,ComponentC9,AFeedFlowStream1,ComponentF6,ComponentG9,ReactorPressurekPagauge
01-03-2004 10:28,0.23827,3684.4,4486.6,9.4474,26.925,42.111,2705.3,74.907,120.4,0.32984,80.132,51.541,2634.8,24.344,49.375,3101.5,23.056,65.713,230.3,342.06,94.556,77.416,32.325,8.7535,26.176,6.7826,18.798,1.6311,33.03,13.908,24.043,1.1496,18.586,2.2498,4.8192,2.304,0.010783,0.84706,0.097594,53.151,45.091,62.853,53.672,23.694,62.657,22.219,39.694,42.635,45.088,47.453,41.124,17.851,1,1,3.055291311927537,ComponentH11,SeparatorPotLiquidFlowStream10,ProductSepLevel, , , , 
1/18/2004 16:40,0.26068,3606.0,4466.1,9.2702,27.281,41.913,2692.4,74.808,120.37,0.34981,80.079,51.25,2620.9,22.836,51.092,3089.4,23.337,66.181,237.81,340.42,94.78,77.291,32.281,8.8555,25.714,6.938,18.665,1.7213,32.686,13.805,23.612,1.2795,18.92,2.3025,4.9927,2.4483,0.02147,0.86595,0.09439,53.517,43.551,63.247,53.458,25.786,63.168,22.002,41.666,41.779,49.062,50.584,40.415,17.193,0,0,3.284664860064687,ComponentH9,ComponentF6,ProdSepUnderflowStream10,ComponentG9,ComponentC6,StripperPressurekPagauge,ReactorFeedRateStream6
01-06-2004 08:23,0.82844,3685.4,4428.5,8.7919,26.526,42.484,2679.0,74.072,120.39,0.33289,80.509,50.986,2607.4,26.675,49.173,3079.5,23.325,68.683,285.92,338.39,94.737,77.303,32.156,8.912,25.915,7.0101,18.997,1.6991,32.953,13.902,22.813,1.3506,19.528,2.3824,4.9562,2.3737,-0.004541,0.86022,0.10869,53.803,43.307,62.871,53.06,81.04,57.051,20.953,39.586,41.003,44.619,65.41,40.467,17.198,0,0,15.657936328163169,AFeedStream1,AFeedFlowStream1,StripperTemperatureDegC,TotalFeedStream4,StripperSteamValve,StripperSteamFlowkgperhr,ComponentF9
01-05-2004 06:58,0.29702,3688.6,4534.0,9.337,26.718,42.742,2699.6,75.166,120.41,0.33857,79.998,49.845,2626.8,23.64,51.252,3099.8,22.849,65.649,225.34,339.78,94.67,76.717,32.026,9.082,26.365,6.983,18.621,1.6596,32.876,13.787,23.786,1.4276,18.732,2.3147,4.8391,2.2548,0.034064,0.84972,0.09539,54.509,43.552,63.74,54.077,29.301,60.703,21.374,40.404,37.644,49.432,46.011,40.61,18.451,1,1,2.7782899100744674,SeparatorCoolingWaterOutletTempDegC,ComponentF9,ComponentB6,ReactorFeedRateStream6,ComponentD9,ComponentD11,ComponentG11
01-06-2004 17:03,0.1705,3677.5,4530.9,9.3001,26.847,42.261,2693.5,75.366,120.41,0.34793,80.137,48.719,2622.3,23.291,50.595,3089.9,23.667,66.634,250.99,341.37,94.619,76.871,32.453,8.9762,26.084,6.8951,18.322,1.6252,33.397,13.723,23.516,1.3565,18.637,2.265,4.8855,2.3648,0.015257,0.83455,0.10729,54.486,44.814,63.202,53.276,16.654,62.119,22.09,41.507,34.33,47.911,53.067,41.457,16.395,0,0,3.143736493050867,AFeedFlowStream1,AFeedStream1,ComponentH11,StripperPressurekPagauge,StripperTemperatureDegC,ProdSepUnderflowStream10,StripperSteamValve
01-08-2004 00:07,0.22494,3690.7,4531.7,9.4079,26.621,42.505,2703.5,74.859,120.42,0.34385,80.107,50.113,2632.4,24.598,49.916,3102.4,22.739,65.799,231.52,340.61,94.316,77.152,32.266,8.7948,26.225,6.809,18.856,1.6549,33.146,13.747,24.441,1.1525,18.685,2.2689,4.6946,2.3363,0.018817,0.82859,0.090919,54.01,43.398,64.192,54.84,22.36,60.398,21.686,40.414,38.431,46.34,47.33,41.531,18.607,0,0,2.780559115307139,ComponentG9,ReactorCoolingWaterOutletTempDegC,DFeedFlowStream2,EFeedFlowStream3, , , 
01-08-2004 22:38,0.20784,3689.0,4466.0,9.4937,26.542,42.51,2709.1,73.8,120.39,0.34341,80.077,50.346,2637.9,25.24,49.373,3104.8,22.848,66.182,244.59,344.33,94.439,77.429,32.704,8.7679,26.288,6.676,18.462,1.6375,33.74,13.858,23.681,1.3113,18.561,2.2501,4.8267,2.2731,0.036083,0.82945,0.11787,53.627,43.339,63.025,54.405,19.786,63.203,22.599,40.629,39.118,45.083,50.728,41.969,21.119,0,0,2.8940343398945134,ComponentA9,ReactorLevel,CondenserCoolingWaterFlow,ComponentD6,ComponentD11,ComponentF11,ComponentA6
1/18/2004 5:24,0.21014,3675.4,4516.9,9.5319,27.462,42.589,2706.2,73.901,120.44,0.35528,80.233,49.216,2637.3,24.345,50.639,3096.5,24.418,66.113,244.25,345.06,94.671,77.925,32.739,8.8772,26.1,6.8302,18.335,1.7139,33.582,13.848,23.458,1.1972,17.79,2.2509,4.9308,2.3272,0.02453,0.8413,0.084596,54.02,43.266,63.092,53.659,20.526,64.052,22.468,42.142,35.793,48.013,52.247,42.447,14.539,0,0,3.2274263742626785,RecycleFlowStream8,ReactorCoolingWaterFlow,CondenserCoolingWaterFlow,SeparatorCoolingWaterOutletTempDegC,StripperUnderflowStream11,ComponentF6,ComponentE9
1/17/2004 9:08,0.21129,3654.4,4515.2,9.2583,27.073,42.394,2694.0,75.945,120.36,0.34294,80.505,51.464,2622.1,25.606,50.38,3093.6,23.31,66.702,249.31,339.42,94.531,77.39,32.806,8.8539,25.796,6.9683,18.863,1.6674,33.09,14.036,24.037,1.1284,19.23,2.2784,4.8994,2.3298,0.03207,0.81501,0.075344,53.254,43.175,62.482,54.273,20.749,63.049,21.578,40.685,42.41,47.413,53.378,40.424,17.207,0,0,2.8836387611152556,ComponentF11,ComponentA6,ReactorTemperatureDegC,StripperTemperatureDegC,ComponentB9,ComponentC6,StripperSteamValve
1/13/2004 9:57,0.18577,3649.7,4556.4,9.3103,26.955,42.484,2711.6,76.363,120.39,0.32654,79.511,49.021,2641.0,24.951,49.024,3103.3,23.034,65.652,235.21,344.51,94.831,77.102,32.285,8.9134,26.393,6.7032,18.48,1.6598,33.341,13.651,24.677,1.0738,18.256,2.2354,4.7755,2.1993,0.015632,0.79543,0.087881,53.647,44.263,62.51,53.812,18.84,62.664,23.527,38.868,35.22,44.275,47.686,40.964,17.912,0,0,3.064169630593709,ReactorLevel,ProductSepTempDegC,CompressorRecycleValve,AFeedStream1,ComponentE11,AFeedFlowStream1,ComponentD9
01-11-2004 01:27,0.066253,3620.7,4597.0,9.5334,27.065,42.429,2624.3,74.593,120.4,0.40993,81.786,50.656,2553.7,25.166,49.56,3018.3,22.713,64.522,148.07,343.14,94.819,78.132,33.423,8.885,23.493,7.0095,19.513,1.8159,35.079,13.762,19.31,1.3408,19.393,2.4396,5.4,2.5051,0.024413,0.785,0.10436,52.815,44.498,63.181,54.636,6.6732,61.31,21.267,49.052,40.03,45.515,29.49,40.797,17.818,0,0,11.268204776864927,StripperPressurekPagauge,ComponentC9,ReactorPressurekPagauge,ProdSepPressurekPagauge,ComponentC6,ComponentG9,StripperSteamFlowkgperhr
01-10-2004 08:48,0.26761,3644.5,4509.1,9.2811,27.195,42.541,2703.8,74.408,120.41,0.34694,80.264,49.036,2632.8,24.085,49.593,3099.6,22.888,66.036,232.8,342.64,94.614,77.439,32.035,8.8257,25.964,6.9928,18.868,1.652,33.153,13.867,23.545,1.134,18.472,2.2859,4.9539,2.3097,0.0099485,0.82268,0.088572,53.599,45.117,63.488,54.25,26.052,77.41,22.581,41.752,35.262,45.592,48.694,41.598,18.215,0,0,11.156769340591612,TotalFeedFlowStream4,ComponentH11,ComponentG9,RecycleFlowStream8, , , 
01-11-2004 06:54,0.019589,3717.9,4608.6,9.5841,26.642,42.449,2727.6,76.7,120.4,0.32276,79.641,50.19,2659.6,26.398,49.44,3110.5,22.831,65.993,235.04,354.89,94.301,77.424,34.002,8.936,24.965,6.7808,17.862,1.9691,35.735,13.946,22.288,1.2134,16.826,2.6293,4.7724,2.1861,0.026549,0.69655,0.10043,53.934,44.403,64.251,55.403,1.9218,61.73,25.608,37.08,38.659,45.238,48.378,41.467,18.209,0,0,11.848064538828186,ComponentF9,ComponentF6,ComponentA9,AFeedStream1,AFeedFlowStream1,CompressorWorkkW,ComponentE11
01-11-2004 03:48,0.2125,3602.2,4276.4,9.0756,26.79,42.202,2607.2,73.07,120.4,0.21673,81.848,49.925,2535.6,24.17,50.907,3002.6,23.511,70.059,312.98,337.02,95.173,77.276,33.238,8.6072,23.572,6.9744,20.314,1.8708,34.649,13.599,19.842,1.4427,20.103,2.5928,5.2069,2.5593,0.034606,0.8547,0.11909,53.515,44.0,61.571,51.777,20.742,60.048,20.241,27.22,37.878,48.634,74.068,40.602,17.158,0,0,13.2108254269337,StripperPressurekPagauge,ReactorPressurekPagauge,ComponentF9,ProdSepPressurekPagauge,ComponentC9,StripperTemperatureDegC,PurgeRateStream9
01-05-2004 11:05,0.25029,3673.1,4506.0,9.3693,26.863,42.433,2706.7,74.773,120.41,0.32228,80.403,49.492,2635.3,25.56,50.763,3103.7,23.095,65.918,229.99,341.79,94.598,77.139,32.402,8.8451,26.012,6.7293,19.202,1.6673,33.044,13.791,23.897,1.4482,18.641,2.2554,4.7997,2.2328,0.03224,0.82585,0.088356,53.287,44.161,62.256,53.67,24.663,60.564,22.395,38.291,36.606,48.299,47.403,41.208,17.734,1,1,2.548055419312724,ComponentD9,ComponentD11,ComponentE6,ComponentD6, , , 
1/17/2004 3:34,0.28898,3717.9,4464.3,9.4592,26.726,42.216,2708.4,74.987,120.08,0.347,79.642,48.374,2637.5,24.587,50.915,3106.8,23.267,66.042,244.77,341.55,94.267,76.913,32.295,9.0171,26.42,6.8094,18.745,1.6678,32.777,13.873,23.788,1.1037,18.429,2.2795,4.8701,2.3551,0.024567,0.837,0.091028,53.244,43.626,64.258,54.162,28.279,60.078,22.211,41.379,33.314,48.651,50.734,41.205,17.372,0,0,14.086101695311417,ReactorTemperatureDegC,ReactorCoolingWaterOutletTempDegC,DFeedFlowStream2,ProductSepTempDegC,SeparatorPotLiquidFlowStream10,ProductSepLevel,DFeedStream2
01-10-2004 03:20,0.097081,3712.1,4585.8,10.176,26.988,42.976,2775.8,71.158,120.41,0.33302,79.057,48.468,2708.3,24.653,51.292,3155.9,24.292,66.558,272.61,361.05,93.48,78.149,33.675,8.4975,26.545,6.6379,17.214,1.6588,34.874,13.554,24.745,1.0638,16.298,2.2606,4.747,2.2485,0.020204,0.71202,0.10146,53.443,43.99,63.456,55.123,9.6993,85.257,27.612,36.993,33.591,49.524,56.983,43.46,14.396,0,0,16.41330890888664,TotalFeedFlowStream4,CompressorWorkkW,TotalFeedStream4,CompressorRecycleValve,ProdSepPressurekPagauge,ReactorPressurekPagauge,ReactorCoolingWaterOutletTempDegC
01-08-2004 14:48,0.28842,3623.6,4450.1,9.477,26.891,42.573,2689.9,74.459,120.37,0.36707,80.439,53.812,2618.2,25.122,49.242,3089.0,22.345,66.066,230.73,340.27,94.692,77.312,32.525,8.9996,25.98,6.9971,18.994,1.6154,32.96,13.86,23.313,1.1731,19.195,2.2265,4.9022,2.3678,0.028703,0.831,0.097809,54.215,43.876,62.283,52.982,28.611,61.311,21.558,43.307,49.317,44.781,48.201,45.428,19.5,0,0,7.339666743851968,ReactorCoolingWaterFlow,ProductSepLevel,SeparatorPotLiquidFlowStream10,PurgeRateStream9,PurgeValveStream9,EFeedFlowStream3,StripperPressurekPagauge
1/17/2004 23:41,0.0084402,3741.5,4634.2,11.696,26.817,43.854,3000.0,67.627,120.39,0.33154,74.772,49.198,2943.7,23.738,49.52,3338.6,23.542,69.117,436.85,390.1,92.16,76.883,37.856,7.8456,28.577,6.2934,13.079,1.5494,41.778,12.591,26.101,0.67884,11.111,2.0275,3.7852,1.8995,0.019029,0.46387,0.068399,51.63,45.4,100.0,100.0,0.0,100.02,-0.039859,0.0,35.739,45.424,-0.53932,-0.07103,-0.0016217,0,0,76.96086456670685,EFeedFlowStream3,ReactorCoolingWaterFlow,DFeedFlowStream2,CompressorRecycleValve,ProdSepPressurekPagauge,ReactorPressurekPagauge,StripperPressurekPagauge
01-09-2004 18:22,0.0,3637.8,4308.0,9.5687,26.837,42.321,3000.0,74.544,120.41,0.19717,73.055,50.184,2920.7,24.658,49.72,3445.3,22.302,67.388,461.75,308.49,95.552,73.184,24.532,8.6161,35.316,6.9236,18.948,1.4946,22.127,13.582,37.864,1.1754,18.244,1.9771,3.5008,1.5762,0.014443,1.0291,0.11554,54.784,42.795,66.521,41.26,100.0,82.276,-0.03053,3.8062,38.642,45.886,100.25,100.05,60.262,0,0,87.00888161080664,ReactorCoolingWaterFlow,StripperPressurekPagauge,CompressorRecycleValve,ReactorPressurekPagauge,ComponentC9,ProdSepPressurekPagauge,ComponentA9
